Image Name,x1,y1,x2,y2
casent0901618_p_1.jpg,332,205,656,349
casent0900994_p_1.jpg,263,210,627,311
casent0497580_p_1.jpg,282,155,691,275
casent0178845_p_1.jpg,290,158,738,220
casent0280106_p_1.jpg,208,129,507,268
mczent00532865_p_1.jpg,280,154,595,155
casent0909153_p_1.jpg,300,191,689,249
casent0249174_p_1.jpg,210,206,599,229
casent0429209_p_1.jpg,621,171,973,281
casent0173495_p_1.jpg,262,272,619,357
antweb1008613_p_1.jpg,292,185,688,280
casent0249747_p_1.jpg,319,206,702,354
csironc0142_p_1.jpg,382,224,737,314
casent0904803_p_1.jpg,326,224,764,339
casent0906773_p_1.jpg,241,234,569,374
casent0353668_p_1.jpg,625,255,1034,333
casent0622437_p_1.jpg,304,155,633,256
casent0906740_p_1.jpg,268,147,551,322
casent0173474_p_1.jpg,425,248,677,360
ecofog-cgr20-0078-26_p_1.jpg,452,195,984,322
casent0410535_p_1.jpg,222,144,623,185
casent0246636_p_1.jpg,298,109,726,323
casent0908588_p_1.jpg,377,221,748,263
casent0907413_p_1.jpg,317,244,726,343
casent0786703_p_1.jpg,310,164,894,372
antweb1041122_p_1.jpg,265,256,608,362
jtlc000016466_p_1.jpg,301,197,637,308
casent0235199_p_1.jpg,465,224,894,295
inb0003677242_p_1.jpg,163,212,573,255
casent0909853_p_1.jpg,586,252,931,378
casent0917335_p_1.jpg,393,263,939,426
casent0901191_p_1.jpg,298,132,672,196
casent0902324_p_1.jpg,421,205,868,296
casent0904448_p_1.jpg,426,343,712,438
casent0280485_p_1.jpg,256,205,466,285
antweb1041585_p_1.jpg,496,186,988,385
casent0909669_p_1.jpg,316,201,755,274
casent0106150_p_1.jpg,305,200,636,321
casent0907485_p_1.jpg,230,145,736,320
casent0902540_p_1.jpg,572,343,1080,435
casent0005529_p_1.jpg,384,188,769,302
casent0911375_p_1.jpg,238,273,609,394
casent0249860_p_1.jpg,260,123,534,245
casent0922030_p_1.jpg,288,158,685,287
casent0906865_p_1.jpg,301,176,674,290
casent0178096_p_1.jpg,311,271,667,313
casent0914608_p_1.jpg,387,176,758,312
casent0821431_p_1.jpg,465,198,938,287
casent0649570_p_1.jpg,601,407,1055,546
casent0913472_p_1.jpg,413,264,791,386
casent0275583_p_1.jpg,501,254,998,451
casent0919690_p_1.jpg,395,264,826,322
casent0807550_p_1.jpg,278,151,659,233
casent0882044_p_1.jpg,339,263,872,408
casent0102220_p_1.jpg,353,248,761,334
ecofog-pat19-0066-14-s_p_1.jpg,539,309,1025,437
casent0923514_p_1.jpg,394,297,954,519
casent0281582_p_1.jpg,293,175,675,282
casent0179918_p_1.jpg,391,153,741,221
casent0235423_p_1.jpg,401,105,729,210
casent0913774_p_1.jpg,267,208,632,264
casent0912385_p_1.jpg,345,201,739,372
casent0010782_p_1.jpg,462,194,924,224
casent0249764_p_1.jpg,359,246,653,293
casent0045828_p_1.jpg,329,161,585,288
casent0913107_p_1.jpg,259,110,672,223
casent0173365_p_1.jpg,345,163,750,245
casent0217075_p_1.jpg,259,147,603,205
casent0280908_p_1.jpg,342,203,752,282
casent0101661_p_1.jpg,300,274,649,367
casent0178322_p_1.jpg,286,140,721,217
casent0637217_p_1.jpg,351,259,645,353
casent0282265_p_1.jpg,362,192,666,316
casent0913426_p_1.jpg,556,208,832,370
casent0776134_p_1.jpg,241,174,616,309
casent0903282_p_1.jpg,210,111,589,259
casent0173505_p_1.jpg,262,164,673,218
castype06939-01_p_1.jpg,494,281,825,357
casent0784952_p_1.jpg,233,162,640,272
casent0910555_p_1.jpg,349,227,707,329
casent0916880_p_1.jpg,250,209,653,282
casent0912027_p_1.jpg,353,272,888,478
casent0906520_p_1.jpg,425,180,778,409
castype16487_p_1.jpg,256,276,556,359
casent0923688_p_1.jpg,431,277,957,414
casent0173791_p_1.jpg,295,167,716,232
casent0635691_p_1.jpg,298,166,630,280
casent0605499_p_1.jpg,251,189,615,293
